Age,Credit_Mix,Payment_of_Min_Amount,Payment_Behaviour,pc1_1,pc1_2,pc1_3,pc1_4,pc1_5,pc2_1,pc2_2,Credit_Score
0.6904761904761905,2,2,0,0.2160251937078843,0.33506997021192864,0.05615069228334851,0.04782936424640197,0.14689719554224498,-0.0413061803220105,0.0425619029408372,0
0.1904761904761904,1,1,0,-0.31903760604377374,0.11277006565690878,0.22719779512290306,0.055693713713547296,0.11725616933481339,0.27880122457299933,0.10881088717741953,0
0.42857142857142855,1,1,3,-0.41923859612982606,0.06982219676479712,0.2326815658184368,-0.1107933811778681,0.2514504887689841,-0.20027639922899887,0.05665117977177521,2
0.4761904761904762,1,0,0,-0.25723673091264776,-0.23748347666450076,0.37688568788366694,-0.06843288630199823,0.012728353593334324,-0.16898003268901218,0.03745128476367121,0
0.4523809523809524,1,1,5,-0.5025523294477181,0.07382062050076993,0.22619258127209785,-0.2843192046189059,-0.0157477177543546,-0.19833514271873987,-0.034792692370635384,0
0.42857142857142855,2,2,5,0.3402974060488062,0.2927363862981428,-0.05846978015266646,0.13394029462886126,-0.053725611129710804,-0.23813268427515466,0.0005224090415304194,0
0.047619047619047616,3,2,5,0.825048833622896,0.04706410929853688,0.06611913158355348,-0.43067065080112643,-0.022138647146762586,-0.2844161489771731,0.035481849574872465,0
0.14285714285714285,2,2,4,0.48391076658761034,-0.29929154861433027,-0.21223414868368326,-0.23021239872971536,0.3408555449399293,-0.22609086988246632,-0.0019859285863617904,2
0.3333333333333333,1,1,3,-0.500738776277081,0.1677657995261022,0.24966355937596196,-0.23573347657259716,0.22178533653120666,-0.12595780841847715,0.04131573277484148,0
0.07142857142857145,0,2,5,0.848864505663625,0.06003710962290831,-0.17911354462213186,-0.10729477337730706,0.08046007803843316,-0.24360505518041753,0.0022604735505675627,2
0.7142857142857142,2,1,4,-0.22525529532528377,-0.29423049515489985,-0.16010719742044685,0.14679356942028873,-0.015923570413138494,0.13182252928012667,-0.10363205361522654,1
0.6904761904761905,2,1,3,-0.25784617111270713,-0.33785914362440705,0.0010020045134285782,0.3145533417588655,-0.15513150289236421,0.20388118179701892,0.029831749743298275,0
